Interviewee ID,Recommender ID,Job Title applying to,Experience (Job),Experience (years),Skills Vouched for,Phrases,Recommender Job,Combined Text,Superlative Score,Normalized Superlative Score
659,916,,,,"skills, staff, excellence, trust, professional, candidate, initiatives, role, strong leadership, team leadership, ability, energy, collaboration, dedicated instructor, commitment, sector, vibrant atmosphere, pleasure, evolving priorities, engagement, superior organizational skills, importance, culture, operations, unwavering support",,dedicated yoga instructor and former first-grade teacher,"skills, staff, excellence, trust, professional, candidate, initiatives, role, strong leadership, team leadership, ability, energy, collaboration, dedicated instructor, commitment, sector, vibrant atmosphere, pleasure, evolving priorities, engagement, superior organizational skills, importance, culture, operations, unwavering support ",0.71919286,0.17809796
659,125,,,,"interim director, skills, staff, trust, leadership, services, ability, strong appreciation, teams, strategic planning, processes, organization, director, global manufacturer, engagement, president, building, improvements, operations, various stakeholders, expertise",,health and wellness director,"interim director, skills, staff, trust, leadership, services, ability, strong appreciation, teams, strategic planning, processes, organization, director, global manufacturer, engagement, president, building, improvements, operations, various stakeholders, expertise ",0.6894974,0.17809796
659,759,,,,"collaborative strategies, bases, selling, ethos, trust, presence, initiatives, role, energetic personality, teams, various sectors, quotas, organization, pleasure, sales growth, pressure, engagement, operations, sales, proactive approach, exceptional organizational skills, keen understanding, talent",,,"collaborative strategies, bases, selling, ethos, trust, presence, initiatives, role, energetic personality, teams, various sectors, quotas, organization, pleasure, sales growth, pressure, engagement, operations, sales, proactive approach, exceptional organizational skills, keen understanding, talent ",0.71890336,0.17809796
659,57,,,,"interim director, positive atmosphere, skills, staff, collaborative effort, community, proven record, role, contributions, energetic personality, organizational prowess, goals, teams, various positions, experienced manager, experiences, organization, evolving priorities, operations, sales, innovative leadership, cohesion, large teams",proven track record,,"interim director, positive atmosphere, skills, staff, collaborative effort, community, proven record, role, contributions, energetic personality, organizational prowess, goals, teams, various positions, experienced manager, experiences, organization, evolving priorities, operations, sales, innovative leadership, cohesion, large teams proven track record",0.7221026,0.17809796
659,47,,,,"efforts, commitment, engagement, role, teams, officials, importance, capability, teamwork, exceptional skills, skilled multitasking, initiative, staff, ability, organization, oriented professionals, accountant, accurate reporting",,,"efforts, commitment, engagement, role, teams, officials, importance, capability, teamwork, exceptional skills, skilled multitasking, initiative, staff, ability, organization, oriented professionals, accountant, accurate reporting ",0.7110236,0.17809796
3,122,,,,"improvement, skills, talented colleague, close, reporting, detail, contrast, realm, remarkable proficiency, operational efficiency, complex financial narratives, innovative approach, finance, first person, accounting, attention, second person, processes, diverse areas, dedicated accountant, organization, essential functions, areas, complementary skills, picture, procurement, integrity, dedicated professionals, decade, accuracy, expertise",,,"improvement, skills, talented colleague, close, reporting, detail, contrast, realm, remarkable proficiency, operational efficiency, complex financial narratives, innovative approach, finance, first person, accounting, attention, second person, processes, diverse areas, dedicated accountant, organization, essential functions, areas, complementary skills, picture, procurement, integrity, dedicated professionals, decade, accuracy, expertise ",0.73086244,0.5339257
3,194,,,,"skilled accountant, proficiency, lead, Tester, critical necessary skills, professionalism, detail, compliance, data analysis, ability, analytical capabilities, respect, receivable accounts, high levels, various financial tools, effective selection, accounting, processes, talented accountant, comprehensive understanding, current role",,QA/Mobile Software Tester further underscores their analytical capabilities and attention to detail,"skilled accountant, proficiency, lead, Tester, critical necessary skills, professionalism, detail, compliance, data analysis, ability, analytical capabilities, respect, receivable accounts, high levels, various financial tools, effective selection, accounting, processes, talented accountant, comprehensive understanding, current role ",0.74112797,0.5339257
833,154,,,,"exceptional skills, functions, combination, vendors, detail, accountant, role, remarkable proficiency, ability, communication, interaction, commitment, trainer, systems, firsthand knowledge, attention, levels, customer service, technical skills, organization, safety, importance, utmost professionalism, inventory, development",,trainer and leader,"exceptional skills, functions, combination, vendors, detail, accountant, role, remarkable proficiency, ability, communication, interaction, commitment, trainer, systems, firsthand knowledge, attention, levels, customer service, technical skills, organization, safety, importance, utmost professionalism, inventory, development ",0.7273251,0.41665238
833,361,,,,"project management, savings, combined expertise, vendors, problem-solving, qualities, successful military operations, exceptional capabilities, privilege, storied career, dedicated professional, communication, remarkable skills, responsibilities, control, stellar solving skills, customer service, organization, chains, same organization, decade, superintendent, worth accountability, various teams",,Superintendent II,"project management, savings, combined expertise, vendors, problem-solving, qualities, successful military operations, exceptional capabilities, privilege, storied career, dedicated professional, communication, remarkable skills, responsibilities, control, stellar solving skills, customer service, organization, chains, same organization, decade, superintendent, worth accountability, various teams ",0.7333657,0.41665238
833,831,,,,"dynamics, inventory, exceptional skills, skills, personnel, vendors, detail, goods, sum, foundation, proactive mentality, communication, demonstrated ability, logistics, great pleasure, impressive results, teams, first person, others, second person, processes, inventories, organization, costs, high standards, history, operations, training, strong ethic, talent",strong work ethic,Supervisory Logistics Management Specialist with extensive experience in leading teams and managing multimillion-dollar inventories,"dynamics, inventory, exceptional skills, skills, personnel, vendors, detail, goods, sum, foundation, proactive mentality, communication, demonstrated ability, logistics, great pleasure, impressive results, teams, first person, others, second person, processes, inventories, organization, costs, high standards, history, operations, training, strong ethic, talent strong work ethic",0.73917687,0.41665238
833,449,,,,"proficiency, staff, vendors, technical acumen, significant operational costs, problem-solving, exemplary skills, contributions, daily operations, dedicated professional, communication, full confidence, commitment, future role, capacity, expectations, orders, customer service, safety, blend, procurement, counts, training, workplace, decade, inventory",,,"proficiency, staff, vendors, technical acumen, significant operational costs, problem-solving, exemplary skills, contributions, daily operations, dedicated professional, communication, full confidence, commitment, future role, capacity, expectations, orders, customer service, safety, blend, procurement, counts, training, workplace, decade, inventory ",0.7217558,0.41665238
833,79,,,,"own values, professional, donors, role, strategic plans, dedicated professional, ability, communication, logistics, control, time, commitment, conflicts, strong foundation, others, customer service, departmental efficiency, pleasure, friendly demeanor, colleagues, inventory, giving goals",,Donor Advocate,"own values, professional, donors, role, strategic plans, dedicated professional, ability, communication, logistics, control, time, commitment, conflicts, strong foundation, others, customer service, departmental efficiency, pleasure, friendly demeanor, colleagues, inventory, giving goals ",0.7190482,0.41665238
202,610,,,,"quality, proficiency, exceptional professionals, industry, addition, strong analytical mindset, paced industries, tools, qualities, unwavering commitment, leadership, privilege, support, course, complex systems, career, various applications, testing, methodologies, training, decades, future endeavors, intricate projects, expertise",,Director of Finance with over two decades of experience in the hospitality industry,"quality, proficiency, exceptional professionals, industry, addition, strong analytical mindset, paced industries, tools, qualities, unwavering commitment, leadership, privilege, support, course, complex systems, career, various applications, testing, methodologies, training, decades, future endeavors, intricate projects, expertise ",0.7303343,0.2950912
202,559,,,,"skills, spot, Bachelors, ability, insights, collaboration, banking, teams, systems, mutual growth, programs, other hand, emerging professional, Such collaboration, customer service, financial sectors, detailed evaluations, worker, camp, issues, adeptness, integrity, combined history, analysis, training, Cashier, mentor",,Sandwich Artist/Cashier has honed their customer service skills and ability to resolve issues on the spot,"skills, spot, Bachelors, ability, insights, collaboration, banking, teams, systems, mutual growth, programs, other hand, emerging professional, Such collaboration, customer service, financial sectors, detailed evaluations, worker, camp, issues, adeptness, integrity, combined history, analysis, training, Cashier, mentor ",0.7096379,0.2950912
